type,x,y,z
collision,12,23,34
collision,12,23,34
collision,12,23,34
collision,23,43,54
collision,67,67,78
collision,11.61,16.62,0.39
collision,11.19,16.83,-0.31
collision,11.93,16.47,0.47
collision,7.19,18.75,0.4
collision,14.56,15.21,0.29
collision,12.05,16.41,-0.51
collision,10.9,16.97,-0.45
collision,13.91,15.52,-0.38
collision,6.31,19.18,-0.41
collision,13.61,15.66,0.25
collision,10.24,17.28,-0.26
collision,12.11,16.38,-0.58
collision,11.45,16.7,0.19
collision,11.91,16.48,-0.49
collision,11.66,16.6,0.42
collision,9.09,17.84,0.4
collision,13.84,15.55,-0.17
collision,15.34,14.83,-0.5
collision,7.29,18.7,0.48
collision,6.18,19.24,-0.6
collision,12.73,16.09,0.28
collision,11.83,16.52,0.25
collision,14.88,15.05,-0.22
collision,5.74,19.45,0.41
collision,9.86,17.47,0.54
collision,6.94,18.87,0.32
collision,14.51,15.23,-0.52
collision,14.23,15.36,-0.5
collision,7.35,18.67,-0.24
collision,13.2,15.86,0.39
collision,5.14,19.74,-0.36
collision,6.18,19.24,0.66
collision,5.12,19.75,-0.42
collision,5.98,19.33,0.69
collision,6.48,19.1,-0.62
collision,12.09,16.39,-0.4
collision,6.92,18.88,-0.58
collision,5.3,19.66,0.28
collision,12.8,16.05,0.49
collision,13.1,15.91,-0.33
collision,12.97,15.97,-0.23
collision,5.46,19.58,-0.58
collision,9.88,17.46,-0.28
collision,14.62,15.17,-0.36
collision,8.68,18.04,0.22
collision,13.03,15.94,0.31
collision,7.49,18.61,0.42
collision,11.69,16.59,-0.53
collision,13.08,15.92,-0.27
collision,19.29,12.92,0.43
collision,19.54,12.54,0.17
collision,19.88,12.01,-0.31
collision,18.4,14.29,-0.25
collision,18.13,14.71,0.27
collision,20.28,11.4,0.19
collision,19.65,12.38,-0.31
collision,20.37,11.27,-0.27
collision,21.07,10.18,-0.28
collision,20.53,11.02,0.24
collision,20.25,11.44,-0.35
collision,20.72,10.73,0.12
collision,19.9,11.99,0.38
collision,19.62,12.42,-0.24
collision,18.72,13.8,0.37
collision,20.07,11.73,0.24
collision,21.06,10.2,-0.11
collision,20.71,10.73,-0.19
collision,20.21,11.5,-0.38
collision,18.16,14.66,0.23
collision,20.52,11.04,-0.13
collision,20.91,10.43,-0.27
collision,18.7,13.83,-0.37
collision,19.67,12.35,-0.19
collision,19.18,13.09,-0.4
collision,20.24,11.47,0.29
collision,18.79,13.69,-0.37
collision,19.67,12.34,0.15
collision,18.24,14.54,-0.24
collision,20.53,11.01,-0.26
collision,18.39,14.31,-0.45
collision,18.68,13.87,-0.11
collision,21.09,10.16,0.29
collision,18.1,14.75,0.5
collision,20.93,10.4,0.06
collision,20.05,11.76,0.2
collision,22.01,10.21,0.12
collision,19.24,13,0.29
collision,19.71,12.29,-0.3
collision,20.46,11.13,-0.04
collision,20.99,10.31,-0.25
collision,20.42,11.19,0.32
collision,19.52,12.57,-0.42
collision,19.39,12.77,0.3
collision,22.3,10.32,-0.13
collision,23.69,10.84,0.1
collision,21.35,9.97,0.19
collision,21.13,10.09,0.29
collision,20.51,11.04,-0.31
collision,19.94,11.93,0.26
collision,20.98,10.32,-0.32
collision,20.5,11.07,0.09
collision,23.64,10.82,0.14
collision,23.09,10.62,0.3
collision,21.07,10.18,0.28
collision,19.95,11.91,0.37
collision,18.17,14.64,0.43
collision,19.1,13.23,0.2
collision,21.14,10.08,0.18
collision,20.2,11.53,-0.27
collision,20.09,11.7,0.22
collision,19.53,12.55,0.12
collision,19.49,12.62,-0.14
collision,21.23,9.95,-0.09
collision,19.72,12.26,-0.23
collision,20.39,11.23,0.28
collision,19.78,12.17,0.28
collision,18.91,13.51,0.27
collision,20.82,10.57,0.32
collision,20.89,10.46,-0.03
collision,20.73,10.71,-0.32
collision,24.67,11.21,0.06
collision,24.98,11.32,0.36
collision,24.26,11.06,-0.05
collision,18.59,14.01,0.26
collision,25.84,11.65,-0.31
collision,26.49,11.89,0.19
collision,26.06,11.73,0.21
collision,23.39,10.73,0.19
collision,27.26,12.18,-0.15
collision,23.34,10.71,0.22
collision,24.01,10.96,-0.08
collision,25.07,11.36,0.08
collision,29.34,12.96,-0.06
collision,25.65,11.58,0.27
collision,24.69,11.22,0.28
collision,31.94,13.94,0.39
collision,31.48,13.76,-0.29
collision,31.6,13.81,0.38
collision,-19.03,23.07,-0.56
collision,-16.97,24.73,-0.5
collision,-19.18,23.06,-0.49
collision,-22.4,22.92,-0.21
collision,-17.04,25.58,0.58
collision,-16.94,24.23,-0.66
collision,-16.96,24.6,-0.42
collision,-17.36,23.14,0.41
collision,-17.23,28.12,0.93
collision,-23.36,22.88,0.56
collision,-17.16,27.27,0.78
collision,-20.55,23,-0.62
collision,-16.92,23.98,0.38
collision,-23.43,22.88,0.6
collision,-22.34,22.93,-0.35
collision,-21.01,22.98,0.44
collision,-17.04,25.67,0.71
collision,-20.54,23,0.42
collision,-17.27,28.64,-0.61
collision,-17.18,27.55,0.85
collision,-19.97,23.03,0.54
collision,-25.72,22.78,-0.69
collision,-25.03,22.81,-0.62
collision,-21.72,22.95,-0.47
collision,-17.22,28.08,-0.79
collision,-17.25,28.4,0.65
collision,-17.03,25.47,0.49
collision,-26.95,22.73,-0.8
collision,-16.86,23.18,-0.52
collision,-24.54,22.83,-0.39
collision,-27.31,22.71,-0.67
collision,-28.45,22.66,-0.68
collision,-26.81,22.73,0.48
collision,-25.24,22.8,-0.56
collision,-23.25,22.89,-0.38
collision,-25.4,22.79,-0.49
collision,-28.23,22.67,0.42
collision,-17.2,27.74,0.87
collision,-27.55,22.7,0.17
collision,-26.95,22.73,-0.18
collision,-17.82,23.12,-0.53
collision,-29.24,22.63,0.26
collision,-24.43,22.84,0.66
collision,-22.91,22.9,0.27
collision,-21.67,22.95,0.45
collision,-28.97,22.64,-0.31
collision,-28.8,22.65,-0.61
collision,-25.63,22.78,0.71
collision,-26.12,22.76,-0.33
collision,-29.27,22.63,-0.48
collision,-27.17,22.72,-0.64
collision,-25.34,22.8,0.36
collision,-43.2,25.13,-0.82
collision,-46.18,22.22,-0.3
collision,-43.66,24.68,0.53
collision,-43.35,24.98,-0.35
collision,-44,24.34,0.35
collision,-43.49,24.84,-0.52
collision,-42.96,25.36,-0.48
collision,-42.73,25.58,0.65
collision,-43.9,24.44,0.55
collision,-44.78,23.59,0.43
collision,-46.74,21.67,-0.28
collision,-46.4,22,-0.2
collision,-44.11,24.24,0.21
collision,-44.66,23.7,0.02
collision,-44.47,23.89,0.65
collision,-43.44,24.9,-0.5
collision,-44.19,24.16,-0.49
collision,-46.83,21.59,-0.09
collision,-46.76,21.65,0.41
collision,-42.66,25.65,-0.35
collision,-46.1,22.3,0.61
collision,-43.86,24.48,0.04
collision,-47.42,21.01,0.61
collision,-43.65,24.69,-0.35
collision,-46.11,22.29,0.33
collision,-43.12,25.2,0.59
collision,-44.35,24,-0.58
collision,-44.48,23.88,-0.31
collision,-46.35,22.06,0.51
collision,-44.63,23.73,0.22
collision,-45.83,22.57,0.1
collision,-44.42,23.94,-0.41
collision,-43,25.33,0.07
collision,-44.75,23.62,0.58
collision,43.58,10.99,0.06
collision,43.83,10.41,0.15
collision,43.45,11.29,0.19
collision,43.67,10.79,0.07
collision,44.03,9.98,0.01
collision,43.82,10.44,-0.1
collision,43.62,10.91,-0.1
collision,43.51,11.16,0.02
collision,43.5,11.17,0.15
collision,43.48,11.23,-0.1
collision,43.55,11.07,-0.12
collision,43.62,10.91,-0.08
collision,43.88,10.32,0
collision,43.64,10.85,-0.11
collision,43.76,10.59,-0.15
collision,43.64,10.86,0.14
collision,43.53,11.11,-0.11
collision,43.55,11.06,-0.11
collision,43.75,10.61,0
collision,44.14,9.71,0.03
collision,43.54,11.09,0.11
collision,43.82,10.45,0.15
collision,43.95,10.15,0.02
collision,43.76,10.58,-0.14
collision,43.77,10.55,0.06
collision,43.43,11.35,-0.15
collision,43.49,11.21,0.18
collision,43.42,11.35,0.16
collision,43.74,10.64,0.07
collision,43.58,11,0.14
collision,43.72,10.67,0.17
collision,44.1,9.8,0.06
collision,44,10.03,-0.07
collision,43.44,11.31,-0.16
collision,-38.22,28.43,-0.81
collision,-39.32,28.72,0.85
collision,-37.79,28.34,0.63
collision,-40.34,28.97,0.94
collision,-38.37,28.47,-0.93
collision,-38.67,28.55,0.44
collision,-41.33,29.21,-0.63
collision,-39.8,28.84,0.58
collision,-39.85,28.85,0.31
collision,-40.38,28.98,0.65
collision,-39.25,28.69,-0.69
collision,-27.67,46.2,1.62
collision,-27.24,47.16,-1.13
collision,-47.84,21.16,-0.18
collision,-47.84,21.14,0.01
collision,-51.48,17.58,-0.07
collision,-50.93,18.11,0.5
collision,-51.64,17.43,0.43
collision,-49.94,19.09,-0.24
collision,-51.21,17.84,-0.16
collision,-51.68,17.38,0.27
collision,-49.89,19.13,-0.37
collision,-48.72,20.27,-0.5
collision,-48.86,20.13,0.15
collision,-49.6,19.42,-0.41
collision,-48.39,20.59,-0.03
collision,-49.86,19.16,0.44
collision,-48.16,20.82,-0.64
collision,-48.76,20.24,0.14
collision,41.78,15.18,0.26
collision,43.15,12.04,0.11
collision,42.53,13.46,0.09
collision,41.52,15.76,-0.07
collision,43.03,12.32,-0.12
collision,42.89,12.63,-0.15
collision,42.59,13.32,0.04
collision,43.05,12.28,0.27
collision,43.04,12.29,0.06
collision,42.19,14.23,-0.1
collision,43.09,12.18,-0.24
collision,41.36,16.13,-0.23
collision,42.41,13.73,0.03
collision,42.06,14.53,0.18
collision,42.03,14.6,0.25
collision,41.15,16.62,-0.07
collision,42.14,14.36,-0.3
collision,42.74,12.99,0.14
collision,43.17,11.99,0.2
collision,42.74,12.98,0.1
collision,40.98,17,-0.09
collision,43,12.39,-0.25
collision,41.87,14.96,0.23
collision,42.97,12.45,-0.15
collision,42.94,12.53,0.06
collision,41.51,15.79,-0.4
collision,42.79,12.86,-0.09
collision,43.12,12.11,-0.13
collision,43,12.38,-0.09
collision,41.41,16.02,0.11
collision,41.95,14.79,0.35
collision,42.83,12.77,0.28
collision,43.25,11.82,0.05
collision,42.02,14.63,-0.09
collision,41.69,15.38,0.08
collision,40.73,17.58,-0.43
collision,41.26,16.36,-0.16
collision,42.5,13.53,-0.1
collision,43.13,12.09,0.02
collision,41.9,14.9,0.4
collision,42.76,12.93,0.32
collision,41.33,16.19,0.03
collision,41.58,15.64,0.38
collision,42.22,14.16,-0.06
collision,43.18,11.97,0.13
collision,40.88,17.22,-0.09
collision,43.13,12.08,-0.24
collision,42.78,12.89,0.26
collision,42.52,13.49,-0.07
collision,42.6,13.3,-0.27
collision,42.49,13.55,0.2
collision,43.03,12.33,0.1
collision,42.35,13.87,0.02
collision,43,12.39,-0.24
collision,42.44,13.66,-0.31
collision,43.23,11.87,-0.11
collision,42.4,13.76,0.13
collision,42.14,14.35,0.22
collision,43.27,11.77,0.21
collision,42.89,12.65,0.27
collision,40.74,17.54,-0.47
collision,42.38,13.82,-0.36
collision,40.82,17.37,-0.51
collision,43.05,12.28,0.08
collision,41.74,15.26,0.05
collision,41.61,15.56,0.43
collision,42.14,14.35,0.28
collision,43.27,11.78,0.04
collision,40.97,17.02,-0.28
collision,42.68,13.12,-0.1
collision,43.06,12.25,-0.17
collision,41.85,15.01,-0.4
collision,41.51,15.8,0.29
collision,42.56,13.39,-0.35
collision,41.78,15.18,-0.29
collision,40.94,17.09,0.2
collision,41.21,16.47,-0.45
collision,42.38,13.8,0.18
collision,40.79,17.44,-0.47
collision,42.74,12.99,0.11
collision,42.24,14.11,0.36
